City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Rikitea,PF,2022-05-07 19:35:12,-23.1203,-134.9692,77.36,83,70,12.5
68,Nikolskoye,RU,2022-05-07 19:35:13,59.7035,30.7861,52.72,87,100,3.04
69,Vaini,TO,2022-05-07 19:35:13,-21.2,-175.2,73.56,88,75,10.36
70,Aktau,KZ,2022-05-07 19:33:42,43.65,51.2,59.58,81,90,14.76
71,Arlit,NE,2022-05-07 19:35:14,18.7369,7.3853,95.52,12,100,8.12
72,Dikson,RU,2022-05-07 19:35:14,73.5069,80.5464,7.03,96,100,8.68
73,Leningradskiy,RU,2022-05-07 19:35:15,69.3833,178.4167,23.67,90,86,2.28
74,Saint-Philippe,RE,2022-05-07 19:35:15,-21.3585,55.7679,72.99,84,27,10.98
75,Brookings,US,2022-05-07 19:30:40,44.3114,-96.7984,73.11,57,0,28.77
76,Touho,NC,2022-05-07 19:35:16,-20.7833,165.2333,75.34,67,87,20.87
77,Misratah,LY,2022-05-07 19:35:16,32.3754,15.0925,65.44,69,9,11.18
78,Hobart,AU,2022-05-07 19:35:17,-42.8794,147.3294,53.46,78,100,12.66
79,Narsaq,GL,2022-05-07 19:35:17,60.9167,-46.05,53.82,70,100,5.44
80,Norman Wells,CA,2022-05-07 19:35:17,65.282,-126.8329,41.04,60,75,4.61
81,Mnogovershinnyy,RU,2022-05-07 19:35:18,53.9353,139.9242,27.41,80,85,2.89
82,Avarua,CK,2022-05-07 19:35:18,-21.2078,-159.775,82.45,78,40,4.61
83,Tashla,RU,2022-05-07 19:35:19,51.7716,52.7427,45.12,50,92,7.85
84,Ballina,AU,2022-05-07 19:35:19,-28.8667,153.5667,64.36,96,100,6.91
85,Antofagasta,CL,2022-05-07 19:32:32,-23.65,-70.4,63.68,77,53,6.17
86,Geraldton,AU,2022-05-07 19:35:20,-28.7667,114.6,55.81,88,100,8.05
87,Port-Gentil,GA,2022-05-07 19:35:20,-0.7193,8.7815,78.76,94,20,2.3
88,Puerto Madryn,AR,2022-05-07 19:35:21,-42.7692,-65.0385,78.08,32,14,5.73
89,Camopi,GF,2022-05-07 19:35:21,3.1655,-52.3158,79.05,94,96,3.11
90,Tiksi,RU,2022-05-07 19:35:22,71.6872,128.8694,6.15,96,13,7.16
91,Bredasdorp,ZA,2022-05-07 19:35:22,-34.5322,20.0403,54.93,89,40,1.74
92,Ngunguru,NZ,2022-05-07 19:35:22,-35.6167,174.5,57.49,80,66,4.45
93,Stornoway,GB,2022-05-07 19:35:23,58.2093,-6.3865,49.96,73,100,4.61
94,Peruibe,BR,2022-05-07 19:35:23,-24.32,-46.9983,68.13,72,96,3.62
95,Kavieng,PG,2022-05-07 19:35:24,-2.5744,150.7967,82.72,75,58,17.76
96,Gunnedah,AU,2022-05-07 19:35:24,-30.9833,150.25,43.63,73,1,2.98
97,Mezen,RU,2022-05-07 19:35:25,65.8522,44.24,44.22,90,16,12.5
98,Hithadhoo,MV,2022-05-07 19:35:25,-0.6,73.0833,83.89,77,12,15.37
99,Rocha,UY,2022-05-07 19:35:26,-34.4833,-54.3333,67.26,70,100,1.54
100,Kaduqli,SD,2022-05-07 19:35:26,11.0167,29.7167,85.53,49,77,8.9
101,New Norfolk,AU,2022-05-07 19:35:26,-42.7826,147.0587,53.1,69,91,3.11
102,Ucar,AZ,2022-05-07 19:35:27,40.519,47.6542,57.38,96,100,2.01
103,Maceio,BR,2022-05-07 19:35:12,-9.6658,-35.7353,78.24,88,75,11.5
104,Mwene-Ditu,CD,2022-05-07 19:35:27,-7.0,23.45,70.43,74,86,3.8
105,Wewak,PG,2022-05-07 19:35:28,-3.5534,143.6268,79.14,89,86,7.23
106,Kudahuvadhoo,MV,2022-05-07 19:35:28,2.6708,72.8944,83.89,78,100,12.97
107,Kommunisticheskiy,RU,2022-05-07 19:35:29,61.6789,64.4819,35.94,97,100,5.08
108,Lorengau,PG,2022-05-07 19:35:29,-2.0226,147.2712,82.18,82,66,13.06
109,Cherskiy,RU,2022-05-07 19:35:30,68.75,161.3,28.89,95,100,3.71
110,Tabuk,PH,2022-05-07 19:35:30,17.4189,121.4443,74.75,90,95,3.2
111,Karratha,AU,2022-05-07 19:35:31,-20.7377,116.8463,75.36,66,66,8.32
112,Boralday,KZ,2022-05-07 19:35:31,43.3578,76.8594,58.86,77,40,2.24
113,Neath,GB,2022-05-07 19:35:32,51.6632,-3.8044,61.18,78,92,2.35
114,Mozarlandia,BR,2022-05-07 19:35:32,-14.7447,-50.5706,88.97,45,69,8.41
115,Bengkulu,ID,2022-05-07 19:35:32,-3.8004,102.2655,76.73,84,100,0.83
116,Sitka,US,2022-05-07 19:35:33,57.0531,-135.33,46.29,71,40,5.75
117,Albany,US,2022-05-07 19:35:33,42.6001,-73.9662,60.46,34,100,3.0
118,Torbay,CA,2022-05-07 19:35:34,47.6666,-52.7314,43.29,62,75,19.57
119,Lusambo,CD,2022-05-07 19:35:34,-4.9667,23.45,71.67,92,55,1.1
