City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
130,Redlands,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
136,Lata,PT,67.19,clear sky,40.1629,-8.3327,Casa Maquia
137,Muros,ES,70.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
139,Wukari,NG,85.3,overcast clouds,7.85,9.7833,Elimtop
141,Kulhudhuffushi,MV,84.2,light rain,-0.6,73.0833,Scoop Guest House
142,Iguai,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
145,Puerto Del Rosario,ES,70.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
147,Pasighat,IN,73.9,clear sky,28.0667,95.3333,Siang Guest House
152,Ardistan,IR,93.07,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
154,Porto Novo,CV,73.85,clear sky,14.8961,-24.4956,Hotel Xaguate
155,Ternate,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
156,Bambous Virieux,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
157,Wasilla,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
159,Constitucion,MX,88.83,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
160,Ribeira Grande,PT,61.84,scattered clouds,39.05,-27.9833,Casa Das Faias
161,Tidore,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
163,Samarai,PG,80.49,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
167,Moberly,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
169,Chimoio,MZ,67.86,few clouds,-19.1164,33.4833,Predio Livraria Ahmed
173,Nizwa,OM,87.8,clear sky,22.9333,57.5333,Orient Apartments
176,Grand River South East,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
180,Bengkulu,ID,81.63,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
184,Duncan,US,79.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
